Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,
47:46.0,00:00.0,74,7,0,0,0,1503205,1895566,90993,1875933,498346,474834,348970,520136,,
47:47.0,00:00.0,74,7,0,0,0,777523,120284,112364,168008,174988,59677,43700,23402,,
47:48.0,00:00.0,74,7,0,0,0,91488,45676,65275,52098,68570,46172,16329,17965,,
47:49.0,00:00.0,74,7,0,0,0,1594867,873970,252119,510846,856271,288264,371497,96871,,
47:50.0,00:00.0,74,7,0,0,0,1254267,201185,155771,58263,46214,85055,54891,36242,,
47:51.0,00:00.0,74,7,0,0,0,51333,2886,8813,12670,6033,2678,4912,2040,,
47:52.0,00:00.0,74,7,0,0,0,2400497,172998,61750,80132,75521,53103,5524,4483,,
47:53.0,00:00.0,74,7,0,0,0,1147954,711129,324418,125017,341577,229100,116688,61897,,
47:54.0,00:00.0,74,7,0,0,0,1584149,709362,329551,362788,83980,155057,114757,153558,,
47:55.0,00:00.0,74,7,0,0,0,61790,67076,25316,58084,24781,37364,12045,9951,,
47:56.0,00:00.0,60,7,0,0,0,950576,467829,107408,160789,72792,23675,11509,20174,,
47:57.0,00:00.0,73,7,0,0,0,1,1,0,1,0,0,0,0,,
47:58.0,00:00.0,74,7,0,0,0,358343,569805,63912,313857,270584,470867,150622,61069,,
47:59.0,00:00.0,74,7,0,0,0,1783176,163001,123726,175395,266416,179555,38054,51390,,
48:00.0,00:00.0,74,7,0,0,0,1102232,121581,38428,78040,56718,111023,87323,61208,,
48:01.0,00:00.0,74,7,0,0,0,1358002,334754,61211,210563,235957,77926,102128,47677,,
48:02.0,00:00.0,74,7,0,0,0,710914,488055,51352,85344,109235,92274,144265,49970,,
48:03.0,00:00.0,74,7,0,0,0,368559,40151,23729,11070,6283,9784,2525,2151,,
48:04.0,00:00.0,74,7,0,0,0,1512214,48478,17504,176672,46580,39218,30915,21651,,
48:05.0,00:00.0,74,7,0,0,0,228061,791272,59973,181885,109219,168467,102592,76731,,
48:06.0,00:00.0,74,7,0,0,0,655282,153211,304096,19722,110678,112290,74064,30465,,
48:07.0,00:00.0,74,7,0,0,0,515685,87256,167976,19012,110056,311150,164444,116000,,
48:08.0,00:00.0,60,7,0,0,0,505598,211708,137773,42236,42315,89604,98602,78188,,
48:09.0,00:00.0,73,7,0,0,0,5,1,1,1,2,1,1,1,,
48:10.0,00:00.0,73,7,0,0,0,11,2,0,0,0,1,0,0,,
48:11.0,00:00.0,73,7,0,0,0,127242,14197,2109,200,162,15466,719,236,,
48:12.0,00:00.0,0,7,0,0,0,104040,20514,5796,2418,1411,14203,1558,623,,
48:13.0,00:00.0,0,7,0,0,0,114228,26594,5043,7880,1651,21619,1379,329,,
48:14.0,00:00.0,0,7,0,0,0,566657,105316,15643,9645,2736,34026,4242,2532,,
48:15.0,00:00.0,0,7,0,0,0,137476,44875,4870,7928,4751,5875,3572,704,,
48:16.0,00:00.0,0,7,0,0,0,411270,26843,42905,13398,31842,21068,12715,2980,,
48:17.0,00:00.0,0,7,0,0,0,702006,47216,42394,21335,29285,21580,23300,15475,,
48:18.0,00:00.0,0,7,0,0,0,379621,69456,13549,21509,13158,13528,10803,12597,,
48:19.0,00:00.0,0,7,0,0,0,543813,52757,11074,16473,11674,16170,11750,6519,,
48:20.0,00:00.0,0,7,0,0,0,1467166,132890,12381,15437,30357,22381,7815,2706,,
48:21.0,00:00.0,0,7,0,0,0,509660,50804,17280,12694,9819,31663,16026,3997,,
48:22.0,00:00.0,0,7,0,0,0,554928,83167,28807,25041,85126,34483,15717,14243,,
48:23.0,00:00.0,0,7,0,0,0,116777,61246,16291,7342,22961,17774,22471,14004,,
48:24.0,00:00.0,0,7,0,0,0,629086,51646,34554,35559,18775,21296,13741,2759,,
48:25.0,00:00.0,0,7,0,0,0,1086033,45697,6963,19717,16474,50492,9024,6804,,
48:26.0,00:00.0,0,7,0,0,0,1217075,80428,11043,8248,36785,10747,23493,3717,,
48:27.0,00:00.0,0,7,0,0,0,90487,67205,42340,5111,24941,23405,15749,8234,,
48:28.0,00:00.0,0,7,0,0,0,309772,43815,21214,13283,19021,15537,7878,2355,,
48:29.0,00:00.0,0,7,0,0,0,672810,16827,12571,2612,5532,5363,2803,1294,,
48:30.0,00:00.0,0,7,0,0,0,719768,64325,19942,9573,12561,19649,23454,6059,,
48:31.0,00:00.0,0,7,0,0,0,44919,31691,7644,40592,19902,30611,7134,3928,,
48:32.0,00:00.0,0,7,0,0,0,116248,95946,7482,4323,29624,38054,14900,10164,,
48:33.0,00:00.0,0,7,0,0,0,896344,83464,57858,31601,25256,16573,8447,5282,,
48:34.0,00:00.0,0,7,0,0,0,918104,258910,57652,36303,78857,15924,16233,6774,,
48:35.0,00:00.0,0,7,0,0,0,91915,123621,657,9317,3918,10365,11849,2994,,
48:36.0,00:00.0,0,7,0,0,0,338897,103895,14447,24550,46157,20059,25225,14670,,
48:37.0,00:00.0,0,7,0,0,0,125342,132380,13999,12140,17257,19505,21809,8747,,
48:38.0,00:00.0,0,7,0,0,0,597055,68495,11875,2082,7422,12047,5700,1243,,
48:39.0,00:00.0,0,7,0,0,0,153069,53495,18767,27136,56287,27006,14485,16200,,
48:40.0,00:00.0,0,7,0,0,0,1418997,205686,17679,26730,34723,33140,36346,5034,,
48:41.0,00:00.0,0,7,0,0,0,276813,85680,9560,10774,21119,11231,11504,5724,,
48:42.0,00:00.0,0,7,0,0,0,87412,65966,11615,29128,27002,35510,16767,11953,,
48:43.0,00:00.0,0,7,0,0,0,69664,239535,28471,29077,21157,35310,32528,3790,,
48:44.0,00:00.0,0,7,0,0,0,668343,115122,26573,8864,6618,5347,4893,3446,,
48:45.0,00:00.0,0,7,0,0,0,1138371,544384,42102,11615,20306,32206,17544,11370,,
48:46.0,00:00.0,0,7,0,0,0,550846,93067,19497,11774,4795,5348,3160,2042,,
48:47.0,00:00.0,0,7,0,0,0,559677,70300,5728,34432,24195,17288,29800,13274,,
48:48.0,00:00.0,0,7,0,0,0,297996,187071,15515,11280,29238,37142,43030,9350,,
48:49.0,00:00.0,0,7,0,0,0,663180,119592,9123,9023,19572,33600,24560,7053,,
48:50.0,00:00.0,0,7,0,0,0,788981,87952,4217,15682,39507,24257,29411,9924,,
48:51.0,00:00.0,0,7,0,0,0,372054,198004,26213,34858,12037,38920,28873,10713,,
48:52.0,00:00.0,0,7,0,0,0,1509113,78289,155591,14800,11700,32579,16558,22333,,
48:53.0,00:00.0,0,7,0,0,0,732414,69517,59025,29573,38590,21215,6130,14992,,
48:54.0,00:00.0,0,7,0,0,0,431690,21609,29411,17331,17948,20981,18814,12111,,
48:55.0,00:00.0,0,7,0,0,0,6410,56421,4310,17184,23808,21342,16577,8912,,
