Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
00:01.0,00:00.0,100,1,30,41,35,67425,93848,38531,36486,14452,21642,6665,4449,,,,,
00:02.0,00:00.0,100,1,41,44,42,49659,34514,13579,20873,26711,17680,10038,3962,,,,,
00:03.0,00:00.0,100,1,48,54,51,20368,8526,41935,9147,27706,26729,7099,1496,,,,,
00:04.0,00:00.0,100,1,50,57,53,1207910,68909,12506,9840,36034,24422,12135,2450,,,,,
00:05.0,00:00.0,100,1,50,57,53,58347,32030,16689,8614,7640,7091,11242,2752,,,,,
00:06.0,00:00.0,100,1,44,54,49,2099492,127055,9846,40345,24714,21917,12997,7714,,,,,
00:07.0,00:00.0,100,1,38,56,47,169946,68561,30351,80734,3715,32964,16987,2467,,,,,
00:08.0,00:00.0,100,1,37,64,50,62667,38507,21588,6110,17354,13897,7337,2315,,,,,
00:09.0,00:00.0,100,1,38,67,52,139786,65231,62253,21522,14910,23016,5733,912,,,,,
00:10.0,00:00.0,100,1,35,74,54,3811,123834,48861,17332,6209,16177,14650,5543,,,,,
00:11.0,00:00.0,100,1,30,63,46,441138,55637,12344,17067,7809,12940,12192,3967,,,,,
00:12.0,00:00.0,100,1,17,74,45,86703,53203,42548,38907,16353,5223,8989,3448,,,,,
00:13.0,00:00.0,100,1,20,64,42,86072,23584,4148,20286,28338,8974,9859,5537,,,,,
00:14.0,00:00.0,100,1,29,61,45,40826,73893,25360,16795,22129,30824,8814,2723,,,,,
